TaxNumber,TaxOrder,Taxon,Order,Family,Genus,Species,Subspecies,Common Name,NewOrder,NewFamily,NewGenus
912,708130100,Myotomys unisulcatus,Rodentia,Muridae,Myotomys,unisulcatus,,Bush vlei rat,,,Otomys
914,708120200,Gerbillurus paeba,Rodentia,Muridae,Gerbillurus,paeba,,Hairy-footed gerbil,,,Gerbilliscus
930,708180100,Aethomys namaquensis,Rodentia,Muridae,Aethomys,namaquensis,,Rock rat,,,
944,1108030100,Macronycteris commersoni,Chiroptera,Hipposideridae,Macronycteris,commersoni,,Commerson's roundleaf bat,,,
955,1002020200,Blarina carolinensis,Soricomorpha,Soricidae,Blarina,carolinensis,,Southern short-tailed shrew,EULIPOTYPHLA,,
957,707040200,Lemmus sibiricus,Rodentia,Cricetidae,Lemmus,sibiricus,,Siberian brown lemming,,,
958,1002031100,Sorex monticolus,Soricomorpha,Soricidae,Sorex,monticolus,,Montane Shrew,EULIPOTYPHLA,,
978,1107030200,Artibeus cinereus,Chiroptera,Phyllostomidae,"	Artibeus",cinereus,,Gervais's Fruit-eating Bat,,,
995,1103010200,Noctilio labialis,Chiroptera,Noctilionidae,Noctilio,labialis,,Southern bulldog hat,,,
1010,1408030200,Globicephala scammoni,Artiodactyla,Delphinidae,"	Globicephala",scammoni,,Short-finned pilot whale,,,
1065,1002031200,Sorex fumeus,Soricomorpha,Soricidae,Sorex,fumeus,,Smoky shrew,EULIPOTYPHLA,,
1068,1002030201,Sorex cinereus fontinalis,Soricomorpha,Soricidae,Sorex,cinereus,fontinalis,Masked Shrew,EULIPOTYPHLA,,
1070,1003040100,Condylura cristata,Soricomorpha,Talpidae,Condylura,cristata,,Star-nosed mole,EULIPOTYPHLA,,
1072,1003040100,Parascalops breweri,Soricomorpha,Talpidae,Parascalops,breweri,,Hairy-tailed mole,EULIPOTYPHLA,,
1079,704011200,Dipodomys peninsularis,Rodentia,Heteromyidae,Dipodomys,peninsularis,,Baja California kangaroo rat,,,
1087,707051100,Microtus miurus,Rodentia,Cricetidae,Microtus,miurus,,Singing Vole,,,
1089,707051200,Microtus oeconomus,Rodentia,Cricetidae,Microtus,oeconomus,,Tundra vole,,,
1103,707160200,Oryzomys longicaudatus,Rodentia,Cricetidae,Oryzomys,longicaudatus,,Long-tailed colilargo,,,
1113,1002031300,Sorex merriami,Soricomorpha,Soricidae,Sorex,merriami,,Merriam's Shrew,EULIPOTYPHLA,,
1123,707111800,Peromyscus thomasi,Rodentia,Cricetidae,Peromyscus,thomasi,,,,,
1127,1002050100,Crocidura hirta,Soricomorpha,Soricidae,Crocidura,hirta,,Lesser red musk shrew,EULIPOTYPHLA,,
1131,708100300,Gerbilliscus robusta,Rodentia,Muridae,Gerbilliscus,robusta,,Fringe-tailed gerbil,,,
1133,1108040100,Triaenops persicus,Chiroptera,Hipposideridae,Triaenops,persicus,,Rufous trident bat,,,
1142,1501020100,Atelerix albiventris,Erinaceomorpha,Erinaceidae,Atelerix,albiventris,,Four-toed hedgehog,EULIPOTYPHLA,,
1146,1204030100,Hyaena brunnea,Carnivora,Hyaenidae,Hyaena,brunnea,,Brown hyena,,,
1150,1002060100,Myosorex geata,Soricomorpha,Soricidae,Myosorex,geata,,Geata mouse shrew,EULIPOTYPHLA,,
1152,1002070100,Sylvisorex howelli,Soricomorpha,Soricidae,Sylvisorex,howelli,,Howell's forest shrew,EULIPOTYPHLA,,
1159,1203070100,Herpestes javanicus,Carnivora,Herpestidae,Herpestes,javanicus,,Javan mongoose,,,
1179,501020100,Euphractus sexcinctus,Cingulata,Dasypodidae,Euphractus,sexcinctus,,,,,
1196,203010400,Macropus rufogriseus,Diprotodontia,Macropodidae,Macropus,rufogriseus,,Red-necked wallaby,,,
1206,708090300,Parotomys typicus,Rodentia,Muridae,Parotomys,typicus,,Dassie Rat,,,
1209,1002031400,Sorex benderii,Soricomorpha,Soricidae,Sorex,benderii,,Marsh shrew,EULIPOTYPHLA,,
