MDDv1.9_Name,MDDv1.10_Name,Comment,Category,Reference
Cephalophus_zebra,Cephalophula_zebra,moved from Cephalophus to Cephalophula,genus change,"Bärmann, E. V., Fonseca, V. G., Langen, K., & Kaleme, P. (2022). New insights into the taxonomy of duiker antelopes (Artiodactyla: Bovidae) from the eastern Democratic Republic of the Congo, with the formal description of a new genus. Mammalian Biology, 1-17."
Cephallophus_adersi,Leucocephalophus_adersi,moved from Cephalophus to Leucocephalophus,genus change,"Bärmann, E. V., Fonseca, V. G., Langen, K., & Kaleme, P. (2022). New insights into the taxonomy of duiker antelopes (Artiodactyla: Bovidae) from the eastern Democratic Republic of the Congo, with the formal description of a new genus. Mammalian Biology, 1-17."
Marmosa_limae,Marmosa_demerarae,lumped back into M. demerarae,lump,"Voss, R. S. (2022). An Annotated Checklist of Recent Opossums (Mammalia: Didelphidae). Bulletin of the American Museum of Natural History, 455(1), 1-76."
Marmosa_meridae,Marmosa_demerarae,lumped back into M. demerarae,lump,"Voss, R. S. (2022). An Annotated Checklist of Recent Opossums (Mammalia: Didelphidae). Bulletin of the American Museum of Natural History, 455(1), 1-76."
Thylamys_citellus,Thylamys_pusillus,lumped back into T. pusillus,lump,"Voss, R. S. (2022). An Annotated Checklist of Recent Opossums (Mammalia: Didelphidae). Bulletin of the American Museum of Natural History, 455(1), 1-76."
Thylamys_pulchellus,Thylamys_pusillus,lumped back into T. pusillus,lump,"Voss, R. S. (2022). An Annotated Checklist of Recent Opossums (Mammalia: Didelphidae). Bulletin of the American Museum of Natural History, 455(1), 1-76."
Ochotona_gloveri,Ochotona_erythrotis,lumped into O. erythrotis,lump,"Lissovsky, A. A., Yatsentyuk, S. P., Obolenskaya, E. V., Koju, N. P., & Ge, D. (2022). Diversification in highlands: phylogeny and taxonomy of pikas of the subgenus Conothoa (Lagomorpha, Ochotonidae). Zoologica Scripta, 51(3), 267-287."
Crocidura_negligens,Crocidura_malayana,lumped into C. malayana,lump,"Hinckley, A., Camacho-Sanchez, M., Ruedi, M., Hawkins, M. T., Mullon, M., Cornellas, A., ... & Leonard, J. A. (2022). Evolutionary history of Sundaland shrews (Eulipotyphla: Soricidae: Crocidura) with a focus on Borneo. Zoological Journal of the Linnean Society, 194(2), 478-501."
Dromiciops_mondaca,Dromiciops_gliroides,lumped into D. gliroides,lump,"Quintero-Galvis, J. F., Saenz-Agudelo, P., Amico, G. C., Vazquez, S., Shafer, A. B., & Nespolo, R. F. (2022). Genomic diversity and demographic history of the Dromiciops genus (Marsupialia: Microbiotheriidae). Molecular Phylogenetics and Evolution, 168, 107405."
Lemmus_amurensis,Lemmus_lemmus,lumped into L. lemmus,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Lemmus_paulus,Lemmus_lemmus,lumped into L. lemmus,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Lemmus_sibiricus,Lemmus_lemmus,lumped into L. lemmus,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Craseomys_shanseius,Craseomys_rufocanus,lumped into C. rufocanus,lump,"Tang, M. K., Jin, W., Tang, Y., Yan, C. C., Murphy, R. W., Sun, Z. Y., ... & Liu, S. Y. (2018). Reassessment of the taxonomic status of Craseomys and three controversial species of Myodes and Alticola (Rodentia: Arvicolinae). Zootaxa, 4429(1), 1-52."
Eothenomys_cachinus,Eothenomys_eleusis,lumped into E. eleusis,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Eothenomys_fidelis,Eothenomys_eleusis,lumped into E. eleusis,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Eothenomys_miletus,Eothenomys_eleusis,lumped into E. eleusis,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Eothenomys_shimianensis,Eothenomys_eleusis,lumped into E. eleusis,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
